scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;Alaska grid;AK;0.0108474;0.0171245;0.0171345;0.0164115;0.00784143;0.00806452;0.0108665;0.0135821;0.0170493;0.0251236;0.0361586;EJ
CO2B;Alaska grid;AK;0.00569657;0.00899306;0.00899831;0.00861863;0.00411798;0.00423514;0.00570659;0.00713272;0.00895358;0.0131938;0.0189889;EJ
CO2B;Alaska grid;AK;8.62563E-05;0.000136171;0.00013625;0.000130501;6.23536E-05;6.41275E-05;0.000086408;0.000108002;0.000135573;0.000199778;0.000287526;EJ
CO2B;Alaska grid;AK;0.000621045;0.000980431;0.000981003;0.00093961;0.000448946;0.000461718;0.000622138;0.000777615;0.000976126;0.0014384;0.00207019;EJ
CO2B;Alaska grid;electricity;0.0172513;0.0272342;0.0272501;0.0261003;0.0124707;0.0128255;0.0172816;0.0216004;0.0271146;0.0399556;0.0575052;EJ
CO2B;California grid;CA;0.322906;0.433815;0.437179;0.43526;0.377923;0.395845;0.457888;0.552147;0.671459;0.933198;1.28197;EJ
CO2B;California grid;CA;0.169576;0.227821;0.229587;0.22858;0.198469;0.207881;0.240463;0.289964;0.352621;0.490075;0.673234;EJ
CO2B;California grid;CA;0.00256768;0.00344962;0.00347636;0.0034611;0.00300517;0.00314768;0.00364104;0.00439057;0.00533931;0.00742061;0.010194;EJ
CO2B;California grid;CA;0.0184873;0.0248372;0.0250298;0.0249199;0.0216372;0.0226633;0.0262155;0.0316121;0.0384431;0.0534284;0.0733966;EJ
CO2B;California grid;electricity;0.513537;0.689923;0.695272;0.692221;0.601035;0.629537;0.728207;0.878113;1.06786;1.48412;2.03879;EJ
CO2B;Central East grid;IN;0.228022;0.29706;0.286143;0.233337;0.268752;0.291046;0.300953;0.309335;0.364734;0.477106;0.610694;EJ
CO2B;Central East grid;IN;0.136272;0.180175;0.172961;0.144314;0.163977;0.176009;0.182537;0.179708;0.194694;0.238597;0.299774;EJ
CO2B;Central East grid;IN;0.00164567;0.00185997;0.00070919;0.00229013;0.0023281;0.00247611;0.00257447;0.00275333;0.00305292;0.0037839;0.0047252;EJ
CO2B;Central East grid;IN;0.0137628;0.0100433;0.0176069;0.0169528;0.0173798;0.0181888;0.018642;0.0194127;0.0210913;0.0236435;0.029524;EJ
CO2B;Central East grid;KY;0.170908;0.224373;0.23409;0.211492;0.198905;0.208246;0.175968;0.155237;0.16826;0.205472;0.254293;EJ
CO2B;Central East grid;KY;0.096288;0.130042;0.135082;0.106732;0.114827;0.127966;0.148365;0.171523;0.205632;0.272733;0.346339;EJ
CO2B;Central East grid;KY;0.00100014;0.000916386;0.00502413;0.00217572;0.00246788;0.00268266;0.00299702;0.00315923;0.00361794;0.00461517;0.00588017;EJ
CO2B;Central East grid;KY;0.00734733;0.0201171;0.00991006;0.00683585;0.00810117;0.00935719;0.0113205;0.0130141;0.0158303;0.022835;0.0292052;EJ
CO2B;Central East grid;MI;0.241349;0.305198;0.28439;0.281104;0.300731;0.318408;0.42526;0.515791;0.575028;0.716874;0.907304;EJ
CO2B;Central East grid;MI;0.0938353;0.111871;0.110506;0.125318;0.118135;0.11856;0.122741;0.142115;0.160339;0.193256;0.242998;EJ
CO2B;Central East grid;MI;0.00350445;0.0068515;0.00145888;0.00176247;0.00194541;0.00210437;0.00232542;0.00245828;0.00280332;0.00356247;0.00454197;EJ
CO2B;Central East grid;MI;0.0220257;0.036668;0.0301152;0.0189248;0.0198304;0.0211267;0.0226496;0.0239017;0.0267177;0.0325358;0.0410915;EJ
CO2B;Central East grid;OH;0.302803;0.375633;0.351891;0.271903;0.288483;0.317009;0.365014;0.404571;0.452673;0.561575;0.698613;EJ
CO2B;Central East grid;OH;0.157382;0.194036;0.17795;0.156912;0.154689;0.162883;0.16742;0.167442;0.179132;0.21442;0.267311;EJ
CO2B;Central East grid;OH;0.00165937;0.00148538;0.00318295;0.00289479;0.00290934;0.00308731;0.00319263;0.00341967;0.00378008;0.00466784;0.00581531;EJ
CO2B;Central East grid;OH;0.0126291;0.0126425;0.018136;0.0226134;0.0238794;0.0256336;0.0271188;0.0285403;0.0319067;0.041722;0.052372;EJ
CO2B;Central East grid;WV;0.169693;0.210752;0.188016;0.18202;0.190267;0.202632;0.164693;0.137638;0.150404;0.185263;0.234022;EJ
CO2B;Central East grid;WV;0.100604;0.12593;0.10959;0.0863326;0.103315;0.116895;0.130902;0.138801;0.158797;0.208133;0.264089;EJ
CO2B;Central East grid;WV;0.00103894;0.000122798;0.000316296;0.000258879;0.000266262;0.000283831;0.000296555;0.000316692;0.000352069;0.000437521;0.0005464;EJ
CO2B;Central East grid;WV;0.00794475;0.0014286;0.00121028;0.00222342;0.00221164;0.00226058;0.00224911;0.00230301;0.00241966;0.00214531;0.00267251;EJ
CO2B;Central East grid;electricity;1.76971;2.24721;2.13829;1.8764;1.9834;2.12686;2.27722;2.42144;2.72127;3.41338;4.30181;EJ
CO2B;Central Northeast grid;IL;0.360721;0.522778;0.539101;0.524715;0.70563;0.748878;0.865033;0.935724;1.03821;1.27594;1.58026;EJ
CO2B;Central Northeast grid;IL;0.123054;0.186783;0.200863;0.180994;0.221664;0.233621;0.24708;0.26236;0.301035;0.363733;0.464006;EJ
CO2B;Central Northeast grid;IL;0.00195618;0.0026127;0.00202986;0.00232037;0.00301665;0.00320719;0.00343982;0.00357612;0.00402058;0.00491475;0.00626356;EJ
CO2B;Central Northeast grid;IL;0.0164336;0.0184737;0.0182438;0.0205651;0.0243688;0.0253009;0.0261443;0.0267271;0.0290166;0.0302428;0.0384121;EJ
CO2B;Central Northeast grid;MO;0.110565;0.179545;0.176803;0.164408;0.20963;0.228264;0.230795;0.240142;0.285849;0.334795;0.458022;EJ
CO2B;Central Northeast grid;MO;0.104298;0.156664;0.158564;0.144498;0.208104;0.225783;0.254047;0.271217;0.31066;0.391781;0.50281;EJ
CO2B;Central Northeast grid;MO;0.00152349;0.0014254;0.00186566;0.00120468;0.00167258;0.0018163;0.0020639;0.0022286;0.00258892;0.0032445;0.00419552;EJ
CO2B;Central Northeast grid;MO;0.00962499;0.0100022;0.0143691;0.00749945;0.0109557;0.0120088;0.0137602;0.0148915;0.0174912;0.0234541;0.0303066;EJ
CO2B;Central Northeast grid;WI;0.099485;0.131991;0.134942;0.122782;0.149938;0.160216;0.140427;0.123789;0.148712;0.198806;0.275137;EJ
CO2B;Central Northeast grid;WI;0.0723925;0.0946984;0.0874;0.100885;0.129628;0.137887;0.148101;0.148945;0.161737;0.194776;0.248092;EJ
CO2B;Central Northeast grid;WI;0.00105899;0.0025962;0.00287024;0.00293106;0.00378102;0.00402055;0.00432675;0.00452989;0.00510166;0.00622984;0.00793678;EJ
CO2B;Central Northeast grid;WI;0.00661973;0.0192911;0.0161007;0.0184194;0.0256614;0.0278074;0.0308748;0.0327905;0.0378125;0.0499045;0.0637315;EJ
CO2B;Central Northeast grid;electricity;0.907732;1.32686;1.35315;1.29122;1.69405;1.80881;1.96609;2.06692;2.34223;2.87782;3.67917;EJ
CO2B;Central Northwest grid;IA;0.0685927;0.10196;0.127008;0.124799;0.129869;0.1413;0.155236;0.161664;0.183256;0.221046;0.274307;EJ
CO2B;Central Northwest grid;IA;0.0444723;0.0604826;0.079813;0.0688615;0.071888;0.0776198;0.0812123;0.0780617;0.0837777;0.0975078;0.119212;EJ
CO2B;Central Northwest grid;IA;0.000700548;0.00117512;0.00106915;0.000759456;0.000797525;0.000873882;0.000954059;0.000995028;0.0011257;0.00147385;0.00179001;EJ
CO2B;Central Northwest grid;IA;0.00461936;0.00783381;0.00878183;0.010677;0.0107245;0.0111079;0.0114641;0.011619;0.0122651;0.00761932;0.00948477;EJ
CO2B;Central Northwest grid;MN;0.108172;0.130744;0.12791;0.12892;0.132142;0.14384;0.172071;0.174831;0.203553;0.279308;0.34873;EJ
CO2B;Central Northwest grid;MN;0.0490476;0.0598591;0.0577772;0.0698879;0.0684042;0.0706531;0.068804;0.0666716;0.0763242;0.0961956;0.117703;EJ
CO2B;Central Northwest grid;MN;0.000791455;0.00144463;0.0021224;0.00218927;0.00226232;0.00242069;0.0025254;0.00254086;0.00279476;0.00358855;0.00438057;EJ
CO2B;Central Northwest grid;MN;0.00662108;0.0114932;0.0125736;0.00800428;0.00783585;0.008109;0.00895304;0.00927133;0.0109107;0.0191036;0.0242788;EJ
CO2B;Central Northwest grid;ND;0.0617405;0.0755087;0.0800012;0.0875451;0.0919614;0.0978084;0.0909066;0.0957699;0.107294;0.140069;0.171998;EJ
CO2B;Central Northwest grid;ND;0.0460597;0.0538462;0.0560418;0.0582525;0.0638664;0.070604;0.0776134;0.078506;0.0889107;0.124207;0.155584;EJ
CO2B;Central Northwest grid;ND;0.000553538;0;7.74962E-05;0.000323681;0.000327941;0.000353753;0.000388689;0.000417348;0.000494644;0.00067996;0.000877961;EJ
CO2B;Central Northwest grid;ND;0.00373744;0.000272704;0.00230238;0.00394494;0.00394831;0.00407092;0.00419285;0.00426997;0.00458152;0.00341582;0.00436889;EJ
CO2B;Central Northwest grid;NE;0.0595541;0.0831658;0.0967211;0.103563;0.110826;0.124542;0.13727;0.14518;0.169036;0.244453;0.302183;EJ
CO2B;Central Northwest grid;NE;0.0221591;0.0357435;0.0412003;0.0438783;0.0488975;0.0566579;0.0731206;0.0895289;0.108878;0.155901;0.192546;EJ
CO2B;Central Northwest grid;NE;0.000409528;0.000442809;0.000287686;0.000189889;0.000214411;0.000244255;0.00030364;0.000338336;0.000421176;0.000576638;0.000726685;EJ
CO2B;Central Northwest grid;NE;0.00265733;0.00260784;0.00150239;0.0024997;0.00347933;0.00460339;0.00553401;0.0060195;0.0074852;0.0137869;0.0163274;EJ
CO2B;Central Northwest grid;SD;0.0194122;0.0186498;0.0296035;0.0270258;0.0302347;0.0307559;0.0313612;0.0325201;0.0335298;0.0320341;0.0347898;EJ
CO2B;Central Northwest grid;SD;0.00498383;0.00539754;0.00739299;0.0069165;0.00691347;0.00712889;0.0074349;0.00755923;0.00796923;0.00771027;0.00943513;EJ
CO2B;Central Northwest grid;SD;6.94048E-05;0.000197904;0.000110995;0.000289783;0.000334203;0.000387447;0.000494681;0.00055876;0.000703487;0.000972091;0.00122628;EJ
CO2B;Central Northwest grid;SD;0.000541006;0.00126782;0.00124739;0.00188912;0.00235411;0.00292504;0.00345457;0.0037426;0.0046439;0.00857019;0.010351;EJ
CO2B;Central Northwest grid;electricity;0.504895;0.652093;0.733544;0.750417;0.787281;0.856006;0.933295;0.970066;1.10795;1.45822;1.8003;EJ
CO2B;Central Southwest grid;KS;0.105472;0.150733;0.16475;0.15516;0.147309;0.156796;0.173296;0.192877;0.219115;0.278686;0.377008;EJ
CO2B;Central Southwest grid;KS;0.0293783;0.0302056;0.0279105;0.0189608;0.0174497;0.0185793;0.0209484;0.0230549;0.025648;0.0227308;0.0299651;EJ
CO2B;Central Southwest grid;KS;0.000277254;0.000119914;0.000206594;0.000126393;0.000110055;0.000119567;0.000138789;0.000155093;0.000174616;0.000218665;0.000283885;EJ
CO2B;Central Southwest grid;KS;0.00323147;0.00523555;0.00167453;0.00699024;0.00612923;0.00654773;0.00731942;0.00800913;0.00889448;0.00901047;0.011991;EJ
CO2B;Central Southwest grid;OK;0.085084;0.128715;0.134922;0.138455;0.106102;0.111787;0.120911;0.130849;0.146744;0.19092;0.252842;EJ
CO2B;Central Southwest grid;OK;0.0706932;0.116549;0.129464;0.135233;0.115631;0.122469;0.133557;0.146952;0.166485;0.223886;0.300805;EJ
CO2B;Central Southwest grid;OK;0.00123801;0.00210221;0.00217634;0.00220838;0.00190502;0.00201615;0.00220069;0.00241912;0.00273463;0.00351555;0.00472456;EJ
CO2B;Central Southwest grid;OK;0.00767841;0.0107637;0.0154826;0.00982013;0.00837931;0.00882946;0.00952486;0.0105252;0.0120521;0.0178759;0.0240699;EJ
CO2B;Central Southwest grid;electricity;0.303052;0.444424;0.476587;0.466955;0.403015;0.427144;0.467897;0.514842;0.581848;0.746843;1.00169;EJ
CO2B;Florida grid;FL;0.291153;0.489432;0.51457;0.534768;0.527862;0.54437;0.503176;0.544377;0.577552;0.640409;0.794961;EJ
CO2B;Florida grid;FL;0.152901;0.257028;0.27023;0.280837;0.27721;0.285879;0.264246;0.285883;0.303305;0.336315;0.417479;EJ
CO2B;Florida grid;FL;0.00231519;0.00389187;0.00409176;0.00425237;0.00419746;0.00432872;0.00400116;0.00432878;0.00459258;0.00509241;0.00632137;EJ
CO2B;Florida grid;FL;0.0166694;0.0280214;0.0294607;0.0306171;0.0302217;0.0311668;0.0288083;0.0311672;0.0330666;0.0366653;0.0455139;EJ
CO2B;Florida grid;electricity;0.463038;0.778373;0.818352;0.850474;0.839492;0.865745;0.800231;0.865756;0.918516;1.01848;1.26427;EJ
CO2B;Hawaii grid;HI;0.0228011;0.0244049;0.0240449;0.0226419;0.0241671;0.0236547;0.0220298;0.0219835;0.0232616;0.027006;0.03657;EJ
CO2B;Hawaii grid;HI;0.0119741;0.0128164;0.0126273;0.0118905;0.0126915;0.0124224;0.0115691;0.0115448;0.012216;0.0141824;0.019205;EJ
CO2B;Hawaii grid;HI;0.00018131;0.000194063;0.0001912;0.000180044;0.000192172;0.000188098;0.000175177;0.000174809;0.000184971;0.000214747;0.000290797;EJ
CO2B;Hawaii grid;HI;0.00130543;0.00139726;0.00137664;0.00129632;0.00138364;0.0013543;0.00126127;0.00125862;0.00133179;0.00154618;0.00209374;EJ
CO2B;Hawaii grid;electricity;0.036262;0.0388127;0.03824;0.0360088;0.0384344;0.0376195;0.0350354;0.0349617;0.0369943;0.0429494;0.0581595;EJ
CO2B;Mid-Atlantic grid;DC;0;0;0;5.90985E-05;3.80298E-05;6.22506E-05;0.000125376;0.000161398;0.000233536;0.000339379;0.000506617;EJ
CO2B;Mid-Atlantic grid;DC;0.00152164;0.000935204;0;5.90985E-05;0.000127052;0.00019048;0.000261189;0.00033527;0.000402865;0.000502847;0.000639616;EJ
CO2B;Mid-Atlantic grid;DC;0;0;0.000489698;0;0;0;0;0;0;0;0;EJ
CO2B;Mid-Atlantic grid;DC;0.00038041;0.000233802;0.000489697;0;0;0;0;0;0;0;0;EJ
CO2B;Mid-Atlantic grid;DE;0.00997114;0.00994564;0.00760194;0.00537546;0.00378505;0.00371025;0.00345227;0.00272712;0.00286032;0.00355978;0.00483774;EJ
CO2B;Mid-Atlantic grid;DE;0.0175378;0.0156738;0.0129634;0.0172376;0.0164121;0.0163476;0.0168689;0.0183596;0.0193785;0.0218494;0.0266377;EJ
CO2B;Mid-Atlantic grid;DE;0.000312313;0.000340109;0.000282899;0.00034999;0.000367352;0.000394621;0.000458178;0.000534529;0.000619899;0.000781297;0.000980325;EJ
CO2B;Mid-Atlantic grid;DE;0.00316888;0.00259002;0.00219539;0.00255563;0.00267728;0.00287491;0.00332418;0.00387732;0.00449833;0.00571029;0.00716695;EJ
CO2B;Mid-Atlantic grid;MD;0.0558954;0.116956;0.107399;0.102507;0.104006;0.111185;0.119822;0.112255;0.119405;0.171484;0.238916;EJ
CO2B;Mid-Atlantic grid;MD;0.0579655;0.0731097;0.0545349;0.0358973;0.0437011;0.0509572;0.0665605;0.0849944;0.105975;0.144226;0.179015;EJ
CO2B;Mid-Atlantic grid;MD;0.000823634;0.000546915;0.000958195;0.000307791;0.000325383;0.000351137;0.000412512;0.000482975;0.000560685;0.00070467;0.000879309;EJ
CO2B;Mid-Atlantic grid;MD;0.00738569;0.00621175;0.00340068;0.00257963;0.00272518;0.00291932;0.00337657;0.00390502;0.00449077;0.00525534;0.00652675;EJ
CO2B;Mid-Atlantic grid;NJ;0.105027;0.142282;0.151325;0.152713;0.162924;0.169602;0.182497;0.194059;0.205294;0.242997;0.298424;EJ
CO2B;Mid-Atlantic grid;NJ;0.0319772;0.0598384;0.0737044;0.104954;0.100195;0.0991473;0.0996874;0.104055;0.106105;0.116002;0.141047;EJ
CO2B;Mid-Atlantic grid;NJ;0.00139986;0.00329699;0.00166249;0.00217064;0.00226936;0.0024295;0.00274468;0.00311247;0.00354809;0.00442522;0.0054965;EJ
CO2B;Mid-Atlantic grid;NJ;0.00948074;0.0198804;0.0175443;0.0167918;0.0175076;0.0186601;0.0209327;0.0235942;0.0267514;0.0320547;0.0396892;EJ
CO2B;Mid-Atlantic grid;PA;0.427586;0.524582;0.538557;0.517234;0.524236;0.554692;0.606953;0.70171;0.804161;0.973499;1.18071;EJ
CO2B;Mid-Atlantic grid;PA;0.205294;0.267294;0.281487;0.250365;0.257059;0.274096;0.296011;0.323143;0.362591;0.448374;0.557715;EJ
CO2B;Mid-Atlantic grid;PA;0.00222319;0.00212786;0.00300699;0.0033572;0.00335951;0.0034983;0.00364344;0.00390861;0.0042724;0.00515677;0.00634799;EJ
CO2B;Mid-Atlantic grid;PA;0.0138491;0.0165295;0.0224519;0.0226094;0.0226055;0.0235953;0.0246299;0.0265013;0.0290673;0.036669;0.0452868;EJ
CO2B;Mid-Atlantic grid;electricity;0.951799;1.26237;1.28005;1.23712;1.26432;1.33471;1.45176;1.60772;1.80022;2.21359;2.74082;EJ
CO2B;New England grid;CT;0.0934867;0.0848491;0.0856725;0.0896919;0.084351;0.088818;0.0971511;0.104451;0.104436;0.116595;0.13371;EJ
CO2B;New England grid;CT;0.0328379;0.0302216;0.0293127;0.0371986;0.0333857;0.0352653;0.039905;0.0438975;0.0485923;0.0565957;0.0671216;EJ
CO2B;New England grid;CT;0.000590806;0.000408253;0.000455598;0.000597799;0.000535776;0.000581583;0.000684792;0.000767049;0.000862;0.00103891;0.00125219;EJ
CO2B;New England grid;CT;0.00383289;0.0033494;0.00327909;0.00361498;0.00315733;0.00347152;0.00418585;0.00475843;0.0054216;0.00734835;0.00887359;EJ
CO2B;New England grid;MA;0.0641502;0.0873027;0.075609;0.0589622;0.0442802;0.0481871;0.0577425;0.0536611;0.0671035;0.0918799;0.133461;EJ
CO2B;New England grid;MA;0.0702771;0.0691759;0.0650357;0.0496495;0.0440013;0.0470737;0.054569;0.0610576;0.0686694;0.0816328;0.0976211;EJ
CO2B;New England grid;MA;0.00100141;0.000994929;0.0010135;0.000782598;0.000708173;0.000778067;0.000937651;0.00106222;0.00120514;0.00146414;0.00176601;EJ
CO2B;New England grid;MA;0.00777749;0.00767851;0.00730037;0.00674276;0.00619387;0.00669937;0.00784687;0.00874652;0.00977595;0.0105939;0.0127534;EJ
CO2B;New England grid;ME;0.0323918;0.0275363;0.0228725;0.0247983;0.0218652;0.0230057;0.0273424;0.0331306;0.0397098;0.0484754;0.0716149;EJ
CO2B;New England grid;ME;0.00917269;0.0212265;0.0169001;0.00902977;0.00790738;0.00911145;0.0118226;0.0133307;0.0147628;0.0195023;0.0253141;EJ
CO2B;New England grid;ME;0.000148902;0.000323342;0.000222799;8.92998E-05;7.79287E-05;8.14764E-05;8.96844E-05;9.76903E-05;0.000107447;0.000127359;0.000154423;EJ
CO2B;New England grid;ME;0.000870521;0.0020466;0.00160389;0.000527597;0.000452828;0.000478858;0.000540683;0.000598987;0.000669717;0.000908819;0.00110026;EJ
CO2B;New England grid;NH;0.0331293;0.0642323;0.0639579;0.0553214;0.0552976;0.0643472;0.0836063;0.107976;0.126123;0.150338;0.149003;EJ
CO2B;New England grid;NH;0.0110844;0.020597;0.0160592;0.0160177;0.0143868;0.0160931;0.0196897;0.0221459;0.0249185;0.0308125;0.0376039;EJ
CO2B;New England grid;NH;0.000167202;0.000303139;0.000212899;0.0002134;0.000188062;0.000199401;0.000224953;0.000247026;0.000272955;0.000323743;0.000389655;EJ
CO2B;New England grid;NH;0.000970623;0.0020936;0.00153229;0.00126049;0.00108778;0.00116983;0.00135882;0.00151974;0.00170865;0.00231625;0.00279087;EJ
CO2B;New England grid;RI;0.000228304;0.00662524;0.00615821;0.00814359;0.00578507;0.00561313;0.00548414;0.00503155;0.0049033;0.00667168;0.0103153;EJ
CO2B;New England grid;RI;0.00332547;0.010784;0.0177999;0.014963;0.013462;0.0140209;0.0153885;0.0166526;0.0181701;0.0206239;0.0242081;EJ
CO2B;New England grid;RI;1.48002E-05;0.000283337;0.000304399;0.000249499;0.000222536;0.000239951;0.000279124;0.000310754;0.000347321;0.000416289;0.000501028;EJ
CO2B;New England grid;RI;0.000373809;0.0014827;0.00219059;0.00154189;0.00134888;0.00147175;0.00175074;0.00197585;0.00223662;0.00296971;0.003581;EJ
CO2B;New England grid;VT;0.0184985;0.0203442;0.0235901;0.00613377;0.0063046;0.00652558;0.00739205;0.00823865;0.00921599;0.00991598;0.0129075;EJ
CO2B;New England grid;VT;0.000329807;0.000757804;0.000812402;0.000781389;0.00127982;0.00263332;0.00499597;0.00702149;0.0094747;0.0134344;0.0164925;EJ
CO2B;New England grid;VT;3.00003E-07;1.00013E-07;2.99999E-07;9.99998E-08;9.25159E-08;9.86059E-08;1.11622E-07;1.16604E-07;1.22737E-07;1.36919E-07;1.62038E-07;EJ
CO2B;New England grid;VT;2.33006E-05;0.0000035;2.09999E-06;0.000227699;0.0002338;0.000248826;0.000274506;0.000291424;0.000311387;0.000131141;0.000157859;EJ
CO2B;New England grid;electricity;0.384684;0.46262;0.441898;0.386539;0.346514;0.376115;0.443263;0.496971;0.558998;0.674117;0.812694;EJ
CO2B;New York grid;NY;0.303311;0.353485;0.327878;0.330518;0.334075;0.357521;0.415205;0.462878;0.509817;0.619954;0.753845;EJ
