scenario;region;crop;water;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;USA;CornC4;IRR;38.5231292;43.8021354;47.4697554;47.951657;49.99333501;49.68567242;49.09802887;57.80138977;61.79935814;65.63278503;68.25031401;thous km2
CO2B;USA;CornC4;RFD;231.8561578;254.1186592;265.9604634;258.4353126;269.5835036;268.9971302;266.1619295;303.1078353;318.7956032;326.8283019;338.2671207;thous km2
CO2B;USA;FiberCrop;IRR;17.604681;19.9015756;14.3819842;13.168315;13.54834325;13.91821806;14.12254059;14.05186381;14.32721631;14.31652099;14.13292772;thous km2
CO2B;USA;FiberCrop;RFD;27.8683758;30.3482246;21.9313536;20.130413;20.70487212;21.30110332;21.557033;21.41103754;21.86996782;21.88215131;21.6491321;thous km2
CO2B;USA;FodderGrass;IRR;11.2346934;12.367529;11.3245872;10.8781942;11.58990775;12.34357934;13.0296412;13.83014594;14.63427599;15.37561514;16.02147489;thous km2
CO2B;USA;FodderGrass;RFD;71.5152254;75.4794048;68.5079542;64.6165304;68.33571333;72.49672695;76.31868229;79.25953595;82.81753635;84.53346185;87.12042922;thous km2
CO2B;USA;FodderHerb;IRR;28.1880774;28.042764;19.9060066;18.826517;19.80869427;21.32721639;20.05707421;20.8277808;21.86851046;21.45901591;21.70010367;thous km2
CO2B;USA;FodderHerb;RFD;78.4716102;71.8968614;50.026166;46.073474;48.02625981;51.60363555;48.74621643;49.28102712;50.97248174;48.16321235;48.20008368;thous km2
CO2B;USA;FodderHerbC4;IRR;5.896718;5.5410672;5.1164116;5.1633892;5.600461751;6.291986356;6.605988431;7.077665311;7.523488405;7.612816638;8.041925153;thous km2
CO2B;USA;FodderHerbC4;RFD;22.8954824;20.6641146;18.7133852;18.349543;19.91089168;22.43359898;23.47749377;24.2093386;25.13650041;24.15907808;25.2590353;thous km2
CO2B;USA;Forest;NA;1207.260397;1100.351516;911.7397547;969.3333784;1010.279324;1054.424729;1026.105123;1050.171604;1082.149728;1108.478206;1140.659485;thous km2
CO2B;USA;Fruits;IRR;3.8367402;4.1777706;4.211719;4.4378066;4.401100143;4.368513424;4.352634695;4.439372559;4.496067509;4.573363954;4.568244528;thous km2
CO2B;USA;Fruits;RFD;1.2550464;1.3331272;1.3360088;1.3763394;1.365352251;1.364797217;1.35420337;1.351699802;1.356974811;1.321854745;1.346646108;thous km2
CO2B;USA;FruitsTree;IRR;6.935516;6.6317252;5.9771248;5.576268;5.610060178;5.644929182;5.630856496;5.733989085;5.850589214;5.912125776;5.999080827;thous km2
CO2B;USA;FruitsTree;RFD;1.0655972;1.004288;0.8961264;0.8174634;0.80549096;0.793581083;0.774344729;0.748621723;0.737406539;0.699050346;0.707619783;thous km2
CO2B;USA;Grassland;NA;581.49278;666.5078;663.84851;680.43969;671.7593189;659.291289;690.2963243;669.9070051;656.4998134;639.5536083;627.6108227;thous km2
CO2B;USA;Legumes;IRR;2.1829076;2.765777;3.0619488;3.3523522;3.558475584;3.807006992;3.932578426;4.026758764;4.126642849;4.087235816;4.165218687;thous km2
CO2B;USA;Legumes;RFD;5.9187644;7.4235586;8.2100666;8.8953476;9.359688005;9.872505037;10.0726324;10.01297452;10.07911765;9.753568089;9.867001953;thous km2
CO2B;USA;MiscCrop;IRR;1.0989634;0.5692644;0.5468106;0.5693018;0.586174231;0.604552928;0.617598186;0.635204796;0.652708215;0.667093707;0.680791135;thous km2
CO2B;USA;MiscCrop;RFD;1.9604892;1.0151564;0.974887;0.9989222;1.024419471;1.056321235;1.081858392;1.099988464;1.120457246;1.122757938;1.141623336;thous km2
CO2B;USA;MiscCropTree;IRR;0.002309;0.001622;0.0027528;0.0029;0.00303855;0.00296223;0.00312735;0.00301553;0.0032099;0.00371952;0.00367454;thous km2
CO2B;USA;MiscCropTree;RFD;0.339044;0.2549288;0.415936;0.444308;0.46516334;0.45596951;0.48218791;0.467722813;0.496435733;0.569713766;0.565090447;thous km2
CO2B;USA;NutsSeeds;IRR;2.1778716;1.6727184;1.6239758;1.6267048;1.722357475;1.817542106;1.87373585;1.902879585;1.925715385;1.887756435;1.91069655;thous km2
CO2B;USA;NutsSeeds;RFD;4.9237332;3.781673;3.6714906;3.6773104;3.868902324;4.048017498;4.135056743;4.137362859;4.15098451;4.023037196;4.027197069;thous km2
CO2B;USA;NutsSeedsTree;IRR;2.987541;3.8287632;4.7246878;5.7727076;6.088132596;6.370503482;6.548947186;6.678037461;6.801018837;6.859091965;6.933972824;thous km2
CO2B;USA;NutsSeedsTree;RFD;0.3285002;0.4145362;0.5040522;0.6028596;0.634208499;0.668559599;0.689046187;0.684427452;0.681550251;0.643819105;0.649088753;thous km2
CO2B;USA;OilCrop;IRR;0.6605;1.0005648;0.914345;0.911226;0.991744567;1.062665278;1.08784716;1.08124603;1.113648265;1.130572015;1.120633534;thous km2
CO2B;USA;OilCrop;RFD;10.0515982;15.079094;13.7754758;13.724285;14.05883286;14.30192459;14.07763765;13.49811071;13.44933032;12.84611452;12.69938273;thous km2
CO2B;USA;OilCropTree;IRR;0.1262532;0.131599;0.1484776;0.1531124;0.171641516;0.189151567;0.204474106;0.20711249;0.216012757;0.226482711;0.230510528;thous km2
CO2B;USA;OilCropTree;RFD;0.0070168;0.002487;0.0015384;0.0013708;0.001410156;0.001340438;0.001245294;0.001053235;0.001012013;9.61E-04;9.41E-04;thous km2
CO2B;USA;OtherArableLand;NA;673.0483168;494.8441885;448.3973062;393.0021309;384.4610265;373.4272371;362.619458;338.0979419;321.2764166;298.6820986;289.4545513;thous km2
CO2B;USA;OtherGrain;IRR;10.1452566;4.4139236;3.4262266;3.2939226;3.253541048;3.217356348;3.121096771;3.10242754;3.161754124;3.165394661;3.102571343;thous km2
CO2B;USA;OtherGrain;RFD;46.1288456;19.3418688;14.9570904;14.3179194;14.087518;13.91238342;13.55521191;13.33830258;13.55362286;13.39059303;13.18732533;thous km2
CO2B;USA;OtherGrainC4;IRR;3.880492;2.5868038;2.1108092;2.7760602;2.847252628;2.926151043;2.943912811;2.954648255;3.024841241;3.028826771;2.989995333;thous km2
CO2B;USA;OtherGrainC4;RFD;38.5988474;25.3072486;20.6238562;27.1457016;27.88842322;28.82650752;29.13865495;29.30053619;30.09855056;30.16085031;29.92784687;thous km2
CO2B;USA;Pasture;NA;50.1514752;9.0040674;23.1380898;32.9225761;34.74105415;36.76707997;38.57872925;39.9183213;41.50559841;42.19637581;43.66229518;thous km2
CO2B;USA;ProtectedGrassland;NA;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;thous km2
CO2B;USA;ProtectedShrubland;NA;676.80161;693.0834;696.19715;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;thous km2
CO2B;USA;ProtectedUnmanagedForest;NA;346.6319185;360.3320671;383.6140088;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;thous km2
CO2B;USA;ProtectedUnmanagedPasture;NA;489.0900774;507.82198;516.8521471;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;thous km2
CO2B;USA;Rice;IRR;11.2459554;11.9785432;11.7710186;10.1493336;10.51851856;10.79823354;10.69088619;10.58682431;10.55241205;10.06831264;10.02095018;thous km2
CO2B;USA;Rice;RFD;0.3469954;0.3683634;0.361982;0.313989;0.327561183;0.339590068;0.339302839;0.342773026;0.346979119;0.338250236;0.345141986;thous km2
CO2B;USA;RockIceDesert;NA;145.74387;145.27719;145.42728;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;thous km2
CO2B;USA;RootTuber;IRR;4.1759866;3.6736152;3.4879118;3.4440394;3.498725952;3.555624198;3.603466076;3.645646896;3.698026147;3.723024581;3.743024618;thous km2
CO2B;USA;RootTuber;RFD;1.5236716;1.3275134;1.2640726;1.2457442;1.260151371;1.271833353;1.273891684;1.258106676;1.257178;1.224021888;1.224339403;thous km2
CO2B;USA;Shrubland;NA;295.798012;282.351432;284.733551;286.77826;285.053191;282.090377;280.576324;275.099183;271.259697;266.736642;263.981155;thous km2
CO2B;USA;Soybean;IRR;17.0663962;20.928762;22.0662524;22.9114698;23.17427501;22.81173384;22.22125336;23.22088035;24.51530317;30.98511529;31.18759275;thous km2
CO2B;USA;Soybean;RFD;217.2576618;259.9447208;266.8926468;272.0572346;282.0202833;284.7101654;284.6694755;302.6876584;327.9895258;425.0813156;438.0240332;thous km2
CO2B;USA;SugarCrop;IRR;1.988699;1.895664;1.6831682;1.6877442;1.639517701;1.587646845;1.526938079;1.624992087;1.739251166;1.887390066;1.976860739;thous km2
CO2B;USA;SugarCrop;RFD;3.4868538;3.2848356;2.8729856;2.8182732;2.707562196;2.591695431;2.458798522;2.487991915;2.572506799;2.606438874;2.717190626;thous km2
CO2B;USA;SugarCropC4;IRR;1.4145958;1.5176076;1.44047;1.45649;1.515192975;1.567727573;1.616747939;1.634835895;1.667487515;1.715318355;1.717709277;thous km2
CO2B;USA;SugarCropC4;RFD;2.2611044;2.2295796;2.116256;2.0600152;2.1278001;2.1979369;2.2488017;2.2158699;2.2017733;2.1144526;2.1168875;thous km2
CO2B;USA;Tundra;NA;391.75199;383.32132;382.40644;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;thous km2
CO2B;USA;UnmanagedForest;NA;625.9283002;739.4240659;930.2597895;897.5652721;873.1889904;831.731613;852.6963785;797.0041283;766.2655018;738.3314441;708.7379422;thous km2
CO2B;USA;UnmanagedPasture;NA;1835.169194;1920.046105;1954.214823;1968.792777;1926.292359;1866.543186;1810.722584;1689.262117;1613.620932;1520.892604;1469.556093;thous km2
CO2B;USA;UrbanLand;NA;89.9385;117.64165;125.79919;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;thous km2
CO2B;USA;Vegetables;IRR;5.4504232;5.388803;4.8581282;4.7676402;4.742184238;4.723301203;4.70271373;4.809424651;4.908058139;5.012402781;5.078650671;thous km2
CO2B;USA;Vegetables;RFD;3.6886436;3.4980854;3.0923848;2.9487004;2.915430245;2.903888602;2.848864138;2.812677078;2.810625126;2.701065661;2.72674026;thous km2
CO2B;USA;Wheat;IRR;13.6658558;11.6039652;11.4572172;10.6615092;10.49537421;10.38951271;9.769706616;9.611169436;9.593172004;9.290696921;9.043690668;thous km2
CO2B;USA;Wheat;RFD;232.5519818;191.050619;188.1519176;174.5018618;181.3122764;189.3386289;187.5274666;187.111392;190.1408283;185.612452;184.8313289;thous km2
CO2B;USA;biomassGrass;IRR;0;0;0;0;0;0.631491013;1.183705795;3.05424518;3.800013108;4.324178069;4.982766998;thous km2
CO2B;USA;biomassGrass;RFD;0;0;0;0;0;9.304241549;17.57467691;44.3827693;55.06657917;61.95091467;71.26078842;thous km2
CO2B;USA;biomassTree;IRR;0;0;0;0;0;4.569376779;8.289254124;18.83720675;22.27780943;24.6610326;27.30384639;thous km2
CO2B;USA;biomassTree;RFD;0;0;0;0;0;40.64580968;74.93200761;167.8783482;199.3680857;219.7227098;247.4945895;thous km2
CO2B_W;USA;CornC4;IRR;38.5231292;43.8021354;47.4697554;47.951657;49.21354994;48.03105418;45.7384936;48.74433862;44.49408199;33.69873736;18.32135737;thous km2
CO2B_W;USA;CornC4;RFD;231.8561578;254.1186592;265.9604634;258.4353126;270.2181603;270.3578634;267.4451994;306.3038784;335.615837;356.3466871;381.7651306;thous km2
CO2B_W;USA;FiberCrop;IRR;17.604681;19.9015756;14.3819842;13.168315;13.29237242;13.46253465;13.21807018;11.95880613;10.90347074;9.256148034;6.253801977;thous km2
CO2B_W;USA;FiberCrop;RFD;27.8683758;30.3482246;21.9313536;20.130413;20.85288923;21.59331199;22.21297817;22.82648568;24.04112619;25.38425843;26.99584606;thous km2
CO2B_W;USA;FodderGrass;IRR;11.2346934;12.367529;11.3245872;10.8781942;11.61069192;12.39393489;13.12360798;13.99272491;14.90225397;15.83099563;16.71707542;thous km2
CO2B_W;USA;FodderGrass;RFD;71.5152254;75.4794048;68.5079542;64.6165304;68.28610312;72.37538973;76.1145201;78.89434339;82.0926488;83.63658069;85.04623979;thous km2
CO2B_W;USA;FodderHerb;IRR;28.1880774;28.042764;19.9060066;18.826517;19.68890645;21.10408037;19.69826158;20.08734365;20.47186277;18.99869898;16.76320189;thous km2
CO2B_W;USA;FodderHerb;RFD;78.4716102;71.8968614;50.026166;46.073474;48.02603381;51.6065579;48.88736366;49.29249711;50.78555585;48.17641864;47.80158236;thous km2
CO2B_W;USA;FodderHerbC4;IRR;5.896718;5.5410672;5.1164116;5.1633892;5.576463306;6.243536407;6.51627909;6.874733564;7.072253019;6.739083055;6.368644278;thous km2
CO2B_W;USA;FodderHerbC4;RFD;22.8954824;20.6641146;18.7133852;18.349543;19.90724984;22.42630745;23.51089823;24.19033884;24.91258951;23.91947065;24.6686643;thous km2
CO2B_W;USA;Forest;NA;1207.260397;1100.351516;911.7397547;969.3333784;1010.252105;1054.365741;1026.650666;1050.395207;1082.151467;1108.983379;1140.950412;thous km2
CO2B_W;USA;Fruits;IRR;3.8367402;4.1777706;4.211719;4.4378066;4.260338439;4.053537769;3.750263712;3.499400859;3.038633536;2.270301476;1.251086928;thous km2
CO2B_W;USA;Fruits;RFD;1.2550464;1.3331272;1.3360088;1.3763394;1.396439541;1.436328926;1.491765025;1.560589382;1.671062479;1.839980137;2.187399258;thous km2
CO2B_W;USA;FruitsTree;IRR;6.935516;6.6317252;5.9771248;5.576268;5.643120735;5.718165062;5.768334934;5.943216413;6.156990857;6.274131191;6.24352961;thous km2
CO2B_W;USA;FruitsTree;RFD;1.0655972;1.004288;0.8961264;0.8174634;0.823865088;0.832364375;0.849061341;0.859384745;0.900018078;0.964292656;1.119632257;thous km2
CO2B_W;USA;Grassland;NA;581.49278;666.5078;663.84851;680.43969;671.7795299;659.4179147;690.8600229;670.921341;657.4874956;641.7237567;630.535456;thous km2
CO2B_W;USA;Legumes;IRR;2.1829076;2.765777;3.0619488;3.3523522;3.541888325;3.770477473;3.848551879;3.769066513;3.525005784;2.984336565;2.342516161;thous km2
CO2B_W;USA;Legumes;RFD;5.9187644;7.4235586;8.2100666;8.8953476;9.363174028;9.880389371;10.10921359;10.08274733;10.2034379;9.999181722;10.16942008;thous km2
CO2B_W;USA;MiscCrop;IRR;1.0989634;0.5692644;0.5468106;0.5693018;0.586065663;0.604253505;0.616978955;0.633898205;0.651335062;0.660740617;0.662437564;thous km2
CO2B_W;USA;MiscCrop;RFD;1.9604892;1.0151564;0.974887;0.9989222;1.024258071;1.056018661;1.081588804;1.098446472;1.116589286;1.120407936;1.144201626;thous km2
CO2B_W;USA;MiscCropTree;IRR;0.002309;0.001622;0.0027528;0.0029;0.00303675;0.002957;0.00312008;0.00298968;0.00318838;0.00367243;0.00366889;thous km2
CO2B_W;USA;MiscCropTree;RFD;0.339044;0.2549288;0.415936;0.444308;0.464934311;0.455295474;0.481318128;0.464543139;0.49428241;0.564807939;0.567636127;thous km2
CO2B_W;USA;NutsSeeds;IRR;2.1778716;1.6727184;1.6239758;1.6267048;1.721644098;1.815246011;1.870702855;1.893544724;1.91169973;1.878984607;1.911079919;thous km2
CO2B_W;USA;NutsSeeds;RFD;4.9237332;3.781673;3.6714906;3.6773104;3.868773563;4.046094232;4.13512083;4.130117295;4.138469931;4.049085558;4.120469551;thous km2
CO2B_W;USA;NutsSeedsTree;IRR;2.987541;3.8287632;4.7246878;5.7727076;6.083634256;6.374259554;6.557337187;6.691574585;6.750161715;6.584886027;6.077001066;thous km2
CO2B_W;USA;NutsSeedsTree;RFD;0.3285002;0.4145362;0.5040522;0.6028596;0.634149403;0.668018406;0.689717618;0.686349904;0.685333175;0.65747563;0.670505802;thous km2
CO2B_W;USA;OilCrop;IRR;0.6605;1.0005648;0.914345;0.911226;0.971048389;1.012683836;0.985290015;0.896796101;0.787738404;0.569848443;0.275705271;thous km2
CO2B_W;USA;OilCrop;RFD;10.0515982;15.079094;13.7754758;13.724285;14.06268336;14.31340935;14.14414643;13.60962794;13.60653696;13.27229445;13.29043006;thous km2
CO2B_W;USA;OilCropTree;IRR;0.1262532;0.131599;0.1484776;0.1531124;0.170676259;0.186987956;0.199578048;0.198625277;0.198234692;0.189203951;0.150738059;thous km2
CO2B_W;USA;OilCropTree;RFD;0.0070168;0.002487;0.0015384;0.0013708;0.001410031;0.00133992;0.001251246;0.001054399;0.001010985;9.68E-04;9.39E-04;thous km2
CO2B_W;USA;OtherArableLand;NA;673.0483168;494.8441885;448.3973062;393.0021309;384.7292319;374.0137242;364.1809627;340.8639708;325.2593293;305.8061431;299.5798994;thous km2
CO2B_W;USA;OtherGrain;IRR;10.1452566;4.4139236;3.4262266;3.2939226;3.186401599;3.07265251;2.8844119;2.66173948;2.461331557;2.092666794;1.481850826;thous km2
